Date,GDX,GLD,Spread,Z_Score,Position,Spread_Return,Strategy_Return,Cumulative_Return
2023-01-03,28.63426971435547,171.05999755859375,-14.85739059617488,1.078845937580062,0.0,,,
2023-01-04,29.85069465637207,172.6699981689453,-14.050305070997515,1.600493037995994,0.0,0.8070855251773654,0.0,0.0
2023-01-05,29.59003257751465,170.52000427246094,-13.76433552615471,1.7853249786279752,0.0,0.28596954484280523,0.0,0.0
2023-01-06,30.468563079833984,173.7100067138672,-13.696856728216927,1.828938843807952,0.0,0.06747879793778289,0.0,0.0
2023-01-09,30.178937911987305,174.10000610351562,-14.085638456440002,1.577655857190527,0.0,-0.38878172822307455,-0.0,0.0
2023-01-10,30.73887825012207,174.74000549316406,-13.68841667583358,1.8343939396011335,0.0,0.3972217806064222,0.0,0.0
2023-01-11,30.47821617126465,174.6199951171875,-13.918566357986895,1.6856402937833088,0.0,-0.230149682153316,-0.0,0.0
2023-01-12,31.067121505737305,176.63999938964844,-13.843243046766624,1.734324337377261,0.0,0.0753233112202718,0.0,0.0
2023-01-13,31.5208683013916,178.75999450683594,-13.928500745515642,1.6792193578513468,0.0,-0.08525769874901812,-0.0,0.0
2023-01-17,30.42994499206543,177.58999633789062,-14.72195437371264,1.1663830207450565,0.0,-0.7934536281969979,-0.0,0.0
2023-01-18,30.13066673278809,177.0800018310547,-14.891567555425912,1.0567561947483888,0.0,-0.169613181713272,-0.0,0.0
2023-01-19,30.91265296936035,179.88999938964844,-14.82401754611898,1.1004160862825432,0.0,0.067550009306931,0.0,0.0
2023-01-20,31.298818588256836,179.2899932861328,-14.285301582251236,1.4486067200293529,0.0,0.5387159638677446,0.0,0.0
2023-01-23,31.27951431274414,179.6300048828125,-14.391053122323072,1.3802558668395757,0.0,-0.10575154007183585,-0.0,0.0
2023-01-24,31.598098754882812,180.27999877929688,-14.237728320972913,1.4793549530591958,0.0,0.15332480135015913,0.0,0.0
2023-01-25,32.119422912597656,181.11000061035156,-13.927430459344528,1.6799111205708603,0.0,0.3102978616283849,0.0,0.0
2023-01-26,31.62706184387207,179.47000122070312,-14.002824981933957,1.631181050622728,0.0,-0.0753945225894288,-0.0,0.0
2023-01-27,31.192625045776367,179.22000122070312,-14.3736997828777,1.3914719262556108,0.0,-0.3708748009437439,-0.0,0.0
2023-01-30,30.729225158691406,178.75999450683594,-14.720143888215835,1.1675531997165425,0.0,-0.34644410533813463,-0.0,0.0
2023-01-31,30.91265296936035,179.41000366210938,-14.701979597851832,1.1792934045695709,0.0,0.018164290364003577,0.0,0.0
2023-02-01,31.607755661010746,181.6699981689453,-14.581475963829188,1.2571790428526768,0.0,0.12050363402264352,0.0,0.0
2023-02-02,30.623027801513672,177.89999389648438,-14.607687820010192,1.240237419757237,0.0,-0.026211856181003412,-0.0,0.0
2023-02-03,29.271446228027344,173.4600067138672,-14.83041158287162,1.096283400677466,0.0,-0.2227237628614276,-0.0,0.0
2023-02-06,29.16524887084961,173.82000732421875,-15.028138371128826,0.9684857849957078,0.0,-0.19772678825720647,-0.0,0.0
2023-02-07,29.570724487304688,173.97999572753906,-14.663339484418517,1.2042678372702478,0.0,0.36479888671030913,0.0,0.0
2023-02-08,29.31971549987793,174.41000366210938,-15.023677124295167,0.97136924207977,0.0,-0.3603376398766507,-0.0,0.0
2023-02-09,28.730812072753903,173.02999877929688,-15.261717085695157,0.8175158377331415,0.0,-0.2380399613999895,-0.0,0.0
2023-02-10,28.59565162658691,173.36000061035156,-15.4807798336447,0.6759280583563365,0.0,-0.21906274794954328,-0.0,0.0
2023-02-13,28.557037353515625,172.47999572753906,-15.295654635295849,0.7955808335828299,0.0,0.18512519834885133,0.0,0.0
2023-02-14,28.614961624145508,172.61000061035156,-15.270783844630238,0.8116556799665705,0.0,0.024870790665611153,0.0,0.0
2023-02-15,27.79435920715332,170.88999938964844,-15.654079410855672,0.5639185883121992,0.0,-0.3832955662254349,-0.0,0.0
2023-02-16,27.67850685119629,170.75,-15.734337203588268,0.5120452198045173,0.0,-0.08025779273259559,-0.0,0.0
2023-02-17,27.427499771118164,171.25999450683594,-16.115009361230463,0.2660037272384244,0.0,-0.380672157642195,-0.0,0.0
2023-02-21,27.13787269592285,170.6199951171875,-16.241917878897432,0.1839783926315249,0.0,-0.1269085176669691,-0.0,0.0
2023-02-22,26.50069999694824,169.66000366210938,-16.63501468133774,-0.0700935746865581,0.0,-0.39309680244030787,-0.0,0.0
2023-02-23,26.36553955078125,169.57000732421875,-16.747293739613966,-0.1426633871291159,0.0,-0.11227905827622564,-0.0,0.0
2023-02-24,26.056604385375977,168.35000610351562,-16.746046048556387,-0.1418569615371594,0.0,0.0012476910575784927,0.0,0.0
2023-02-27,26.25934600830078,169.00999450683594,-16.711105149680257,-0.1192734582824654,0.0,0.03494089887612972,0.0,0.0
2023-02-28,26.558622360229492,169.77999877929688,-16.607600835244163,-0.0523750642191324,0.0,0.10350431443609409,0.0,0.0
2023-03-01,27.13787269592285,170.75999450683594,-16.277512442121868,0.1609724036534447,0.0,0.33008839312229554,0.0,0.0
2023-03-02,27.195798873901367,170.66000366210938,-16.194163792992427,0.2148434988293902,0.0,0.08334864912944084,0.0,0.0
2023-03-03,27.639890670776367,172.49000549316406,-16.2153462808117,0.201152529278063,0.0,-0.021182487819274343,-0.0,0.0
2023-03-06,27.108911514282227,171.6199951171875,-16.525127049145873,0.0009305769259527,0.0,-0.30978076833417134,-0.0,0.0
2023-03-07,25.960063934326172,168.6199951171875,-16.911230663278474,-0.2486214525545929,0.0,-0.3861036141326011,-0.0,0.0
2023-03-08,25.882831573486328,168.5399932861328,-16.968122719487724,-0.2853927428732164,0.0,-0.056892056209250086,-0.0,0.0
2023-03-09,25.757328033447266,170.1999969482422,-17.515678851699704,-0.6392970811037557,0.0,-0.5475561322119802,-0.0,0.0
2023-03-10,26.25934600830078,173.8699951171875,-17.9467505294949,-0.9179135148997628,0.0,-0.4310716777951953,-0.0,0.0
2023-03-13,28.09363555908203,177.86000061035156,-17.12691184988475,-0.3880236126697879,0.0,0.8198386796101502,0.0,0.0
