Date,GDX,GLD
2023-01-03,28.63426971435547,171.05999755859375
2023-01-04,29.85069465637207,172.6699981689453
2023-01-05,29.59003257751465,170.52000427246094
2023-01-06,30.468563079833984,173.7100067138672
2023-01-09,30.178937911987305,174.10000610351562
2023-01-10,30.73887825012207,174.74000549316406
2023-01-11,30.47821617126465,174.6199951171875
2023-01-12,31.067121505737305,176.63999938964844
2023-01-13,31.5208683013916,178.75999450683594
2023-01-17,30.42994499206543,177.58999633789062
2023-01-18,30.130666732788086,177.0800018310547
2023-01-19,30.91265296936035,179.88999938964844
2023-01-20,31.298818588256836,179.2899932861328
2023-01-23,31.27951431274414,179.6300048828125
2023-01-24,31.598098754882812,180.27999877929688
2023-01-25,32.119422912597656,181.11000061035156
2023-01-26,31.62706184387207,179.47000122070312
2023-01-27,31.192625045776367,179.22000122070312
2023-01-30,30.729225158691406,178.75999450683594
2023-01-31,30.91265296936035,179.41000366210938
2023-02-01,31.607755661010742,181.6699981689453
2023-02-02,30.623027801513672,177.89999389648438
2023-02-03,29.271446228027344,173.4600067138672
2023-02-06,29.16524887084961,173.82000732421875
2023-02-07,29.570724487304688,173.97999572753906
2023-02-08,29.31971549987793,174.41000366210938
2023-02-09,28.730812072753906,173.02999877929688
2023-02-10,28.595651626586914,173.36000061035156
2023-02-13,28.557037353515625,172.47999572753906
2023-02-14,28.614961624145508,172.61000061035156
2023-02-15,27.79435920715332,170.88999938964844
2023-02-16,27.67850685119629,170.75
2023-02-17,27.427499771118164,171.25999450683594
2023-02-21,27.13787269592285,170.6199951171875
2023-02-22,26.500699996948242,169.66000366210938
2023-02-23,26.36553955078125,169.57000732421875
2023-02-24,26.056604385375977,168.35000610351562
2023-02-27,26.25934600830078,169.00999450683594
2023-02-28,26.558622360229492,169.77999877929688
2023-03-01,27.13787269592285,170.75999450683594
2023-03-02,27.195798873901367,170.66000366210938
2023-03-03,27.639890670776367,172.49000549316406
2023-03-06,27.108911514282227,171.6199951171875
2023-03-07,25.960063934326172,168.6199951171875
2023-03-08,25.882831573486328,168.5399932861328
2023-03-09,25.757328033447266,170.1999969482422
2023-03-10,26.25934600830078,173.8699951171875
2023-03-13,28.09363555908203,177.86000061035156
2023-03-14,28.315683364868164,176.8300018310547
2023-03-15,28.315683364868164,178.2100067138672
2023-03-16,28.151561737060547,178.57000732421875
2023-03-17,29.52245330810547,183.77000427246094
