Date,GDX,GLD,Spread,Z_Score
2023-01-03,28.63426971435547,171.05999755859375,-14.85739059617488,1.0788459375800619
2023-01-04,29.85069465637207,172.6699981689453,-14.050305070997517,1.6004930379959939
2023-01-05,29.59003257751465,170.52000427246094,-13.76433552615471,1.7853249786279752
2023-01-06,30.468563079833984,173.7100067138672,-13.696856728216929,1.828938843807952
2023-01-09,30.178937911987305,174.10000610351562,-14.085638456440002,1.577655857190527
2023-01-10,30.73887825012207,174.74000549316406,-13.68841667583358,1.8343939396011335
2023-01-11,30.47821617126465,174.6199951171875,-13.918566357986897,1.6856402937833088
2023-01-12,31.067121505737305,176.63999938964844,-13.843243046766624,1.734324337377261
2023-01-13,31.5208683013916,178.75999450683594,-13.928500745515642,1.6792193578513468
2023-01-17,30.42994499206543,177.58999633789062,-14.721954373712641,1.1663830207450565
2023-01-18,30.13066673278809,177.0800018310547,-14.891567555425912,1.0567561947483888
2023-01-19,30.91265296936035,179.88999938964844,-14.82401754611898,1.1004160862825432
2023-01-20,31.298818588256836,179.2899932861328,-14.285301582251236,1.4486067200293529
2023-01-23,31.27951431274414,179.6300048828125,-14.391053122323072,1.3802558668395755
2023-01-24,31.598098754882812,180.27999877929688,-14.237728320972913,1.4793549530591958
2023-01-25,32.119422912597656,181.11000061035156,-13.927430459344528,1.6799111205708603
2023-01-26,31.62706184387207,179.47000122070312,-14.002824981933955,1.631181050622728
2023-01-27,31.192625045776367,179.22000122070312,-14.3736997828777,1.3914719262556108
2023-01-30,30.729225158691406,178.75999450683594,-14.720143888215837,1.1675531997165423
2023-01-31,30.91265296936035,179.41000366210938,-14.701979597851832,1.1792934045695709
2023-02-01,31.607755661010746,181.6699981689453,-14.581475963829188,1.2571790428526768
2023-02-02,30.623027801513672,177.89999389648438,-14.607687820010192,1.240237419757237
2023-02-03,29.271446228027344,173.4600067138672,-14.83041158287162,1.096283400677466
2023-02-06,29.16524887084961,173.82000732421875,-15.028138371128826,0.9684857849957078
2023-02-07,29.570724487304688,173.97999572753906,-14.663339484418515,1.2042678372702478
2023-02-08,29.31971549987793,174.41000366210938,-15.023677124295169,0.97136924207977
2023-02-09,28.730812072753903,173.02999877929688,-15.261717085695157,0.8175158377331415
2023-02-10,28.59565162658691,173.36000061035156,-15.4807798336447,0.6759280583563365
2023-02-13,28.557037353515625,172.47999572753906,-15.295654635295847,0.7955808335828299
2023-02-14,28.614961624145508,172.61000061035156,-15.270783844630238,0.8116556799665705
2023-02-15,27.79435920715332,170.88999938964844,-15.654079410855672,0.5639185883121992
2023-02-16,27.67850685119629,170.75,-15.734337203588268,0.5120452198045173
2023-02-17,27.427499771118164,171.25999450683594,-16.115009361230463,0.2660037272384244
2023-02-21,27.13787269592285,170.6199951171875,-16.241917878897432,0.1839783926315249
2023-02-22,26.50069999694824,169.66000366210938,-16.63501468133774,-0.07009357468655812
2023-02-23,26.36553955078125,169.57000732421875,-16.747293739613966,-0.14266338712911594
2023-02-24,26.056604385375977,168.35000610351562,-16.746046048556387,-0.1418569615371594
2023-02-27,26.25934600830078,169.00999450683594,-16.711105149680257,-0.11927345828246545
2023-02-28,26.558622360229492,169.77999877929688,-16.607600835244163,-0.05237506421913242
2023-03-01,27.13787269592285,170.75999450683594,-16.277512442121868,0.16097240365344478
2023-03-02,27.195798873901367,170.66000366210938,-16.194163792992427,0.21484349882939027
2023-03-03,27.639890670776367,172.49000549316406,-16.2153462808117,0.201152529278063
2023-03-06,27.108911514282227,171.6199951171875,-16.525127049145873,0.0009305769259527325
2023-03-07,25.960063934326172,168.6199951171875,-16.911230663278474,-0.24862145255459298
2023-03-08,25.882831573486328,168.5399932861328,-16.968122719487724,-0.2853927428732164
2023-03-09,25.757328033447266,170.1999969482422,-17.515678851699704,-0.6392970811037557
2023-03-10,26.25934600830078,173.8699951171875,-17.9467505294949,-0.9179135148997627
2023-03-13,28.09363555908203,177.86000061035156,-17.12691184988475,-0.3880236126697879
2023-03-14,28.315683364868164,176.8300018310547,-16.64298892619388,-0.07524760307320007
2023-03-15,28.315683364868164,178.2100067138672,-16.993852391917926,-0.30202271404624326
2023-03-16,28.151561737060547,178.57000732421875,-17.249503450805015,-0.46725877568593865
2023-03-17,29.52245330810547,183.77000427246097,-17.200700644617456,-0.4357158455431801
2023-03-20,30.03412628173828,183.83999633789065,-16.706823012838647,-0.11650576613915861
2023-03-21,28.96251106262207,180.3699951171875,-16.896197401124418,-0.23890493879264396
2023-03-22,29.503145217895508,183.44000244140625,-17.13610643304486,-0.3939663876240906
2023-03-23,30.22720718383789,185.7400054931641,-16.996815616803744,-0.3039379480844544
2023-03-24,30.458908081054688,183.6499938964844,-16.233733474964126,0.1892682540492523
2023-03-27,30.42994499206543,181.9499969482422,-15.830475759223376,0.449907568687297
2023-03-28,31.192625045776367,183.44000244140625,-15.446626605163999,0.6980024631759313
2023-03-29,30.931962966918945,182.52999877929688,-15.475922083304361,0.6790677892776974
2023-03-30,31.39536476135254,184.17999267578125,-15.432027918267096,0.7074380960203887
2023-03-31,31.23124122619629,183.22000122070312,-15.35207555688904,0.759114053751267
2023-04-03,31.93599510192871,184.5399932861328,-14.982927008770396,0.9977074416162325
2023-04-04,33.007606506347656,187.97999572753903,-14.785929305884956,1.1250338243762332
2023-04-05,33.15242385864258,187.8300018310547,-14.602976307105443,1.2432826324003385
2023-04-06,33.23931121826172,186.4900054931641,-14.175397573835774,1.5196414561577392
2023-04-10,32.81452560424805,185.11000061035156,-14.2493197221254,1.4718630322994677
2023-04-11,33.38412094116211,186.27999877929688,-13.977194066340509,1.6477471918596043
2023-04-12,33.71236038208008,187.19000244140625,-13.880321226139593,1.7103594363162977
2023-04-13,34.629512786865234,189.72000122070312,-13.606415922170896,1.887393843633187
2023-04-14,33.87648391723633,186.36000061035156,-13.505171394896891,1.9528316596240762
2023-04-17,33.11380386352539,185.52999877929688,-14.05682515252137,1.596278885325314
2023-04-18,33.355159759521484,186.25,-13.998528118684213,1.6339582609495011
2023-04-19,32.90141296386719,185.36000061035156,-14.225994359658209,1.486939015349079
2023-04-20,32.882102966308594,186.08999633789065,-14.430904302635916,1.3544986800113525
2023-04-21,32.44766616821289,184.25,-14.397525732777176,1.3760723963520294
2023-04-24,32.54420852661133,184.80999755859375,-14.443361627276488,1.3464470831545434
2023-04-25,32.60213088989258,185.75,-14.624432994009211,1.2294144385612487
2023-04-26,32.17735290527344,184.7400054931641,-14.792421906760381,1.1208374333926636
2023-04-27,32.67936706542969,184.75,-14.292948829864287,1.443664041194128
2023-04-28,32.418704986572266,184.8000030517578,-14.566324084055388,1.2669722232570912
2023-05-01,32.254581451416016,183.97000122070312,-14.51942132312518,1.2972870888785113
2023-05-02,33.53858947753906,187.52000427246097,-14.137994432463167,1.5438163913223613
2023-05-03,33.654441833496094,189.11000061035156,-14.426395447308614,1.3574129081003337
